"CO_month","datetime","CO_workingday","NO_temp","NO_atemp","NO_humidity","NO_windspeed","S_casual","S_registered","count","CO_hour","CO_day","CO_year","CO_season","CO_weather","CO_humidityQ","CO_tempQ","CO_atempQ","CO_windspeedQ","S_casualQ","S_registeredQ","CO_holiday","CN_school","NN_soleil","CN_soleilQ","NN_tendance_1","NN_tendance_2","CN_tendance_1Q","CN_tendance_2Q","S_rateregis","S_rateregisQ"
"January",2011-01-01 18:00:00,"0",17.22,21.21,88,16.9979,9,26,35,"18","Saturday","2011","Printemps","Pluvieux (-)","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","[0,36]",1,0,-1.39204055899118,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.742857142857143,"(0.717,0.77]"
"January",2011-01-01 19:00:00,"0",17.22,21.21,88,16.9979,6,31,37,"19","Saturday","2011","Printemps","Pluvieux (-)","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","[0,36]",1,0,-12.0144626572548,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.837837837837838,"(0.817,0.855]"
"January",2011-01-01 20:00:00,"0",16.4,20.455,87,16.9979,11,25,36,"20","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","[0,36]",1,0,-23.2374653069384,"(-28,1.01]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.694444444444444,"(0.641,0.717]"
"January",2011-01-01 21:00:00,"0",16.4,20.455,87,12.998,3,31,34,"21","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(7,13]","[0,4]","[0,36]",1,0,-34.8025508253476,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.911764705882353,"(0.889,0.923]"
"January",2011-01-01 22:00:00,"0",16.4,20.455,94,15.0013,11,17,28,"22","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","[0,36]",1,0,-46.4503384572689,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.607142857142857,"[0,0.641]"
"January",2011-01-01 23:00:00,"0",18.86,22.725,88,19.9995,15,24,39,"23","Saturday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(17,57]","(4,17]","[0,36]",1,0,-57.7934401465192,"[-74.5,-28]",0.418092735922744,0,"[0.409,0.432]","[0,67]",0.615384615384615,"[0,0.641]"
"January",2011-01-02 00:00:00,"0",18.86,22.725,88,19.9995,4,13,17,"0","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(17,57]","[0,4]","[0,36]",0,0,-67.9026694955738,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.764705882352941,"(0.717,0.77]"
"January",2011-01-02 01:00:00,"0",18.04,21.97,94,16.9979,1,16,17,"1","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","[0,4]","[0,36]",0,0,-73.8504630202847,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.941176470588235,"(0.923,0.953]"
"January",2011-01-02 02:00:00,"0",17.22,21.21,100,19.0012,1,8,9,"2","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(17,57]","[0,4]","[0,36]",0,0,-71.0480139075631,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.888888888888889,"(0.855,0.889]"
"January",2011-01-02 03:00:00,"0",18.86,22.725,94,12.998,2,4,6,"3","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(7,13]","[0,4]","[0,36]",0,0,-62.0432044321093,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.666666666666667,"(0.641,0.717]"
"January",2011-01-02 04:00:00,"0",18.86,22.725,94,12.998,2,1,3,"4","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(7,13]","[0,4]","[0,36]",0,0,-51.0158425404734,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.333333333333333,"[0,0.641]"
"January",2011-01-02 06:00:00,"0",17.22,21.21,77,19.9995,0,2,2,"6","Sunday","2011","Printemps","Pluvieux (-)","(62,77]","(13.9,20.5]","(16.7,24.2]","(17,57]","[0,4]","[0,36]",0,0,-27.7879813292734,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-02 07:00:00,"0",16.4,20.455,76,12.998,0,1,1,"7","Sunday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(7,13]","[0,4]","[0,36]",0,0,-16.3940629986138,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-02 08:00:00,"0",16.4,20.455,71,15.0013,0,8,8,"8","Sunday","2011","Printemps","Pluvieux (-)","(62,77]","(13.9,20.5]","(16.7,24.2]","(13,17]","[0,4]","[0,36]",0,0,-5.49199100809629,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-02 09:00:00,"0",15.58,19.695,76,15.0013,1,19,20,"9","Sunday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(13,17]","[0,4]","[0,36]",0,0,4.7972202486886,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.95,"(0.923,0.953]"
"January",2011-01-02 10:00:00,"0",14.76,17.425,81,15.0013,7,46,53,"10","Sunday","2011","Printemps","Nuageux","(77,100]","(13.9,20.5]","(16.7,24.2]","(13,17]","(4,17]","(36,118]",0,0,13.656650255547,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.867924528301887,"(0.855,0.889]"
"January",2011-01-02 11:00:00,"0",14.76,16.665,71,16.9979,16,54,70,"11","Sunday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","[0.76,16.7]","(13,17]","(4,17]","(36,118]",0,0,20.9346439333189,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.771428571428571,"(0.77,0.817]"
"January",2011-01-02 12:00:00,"0",14.76,16.665,66,19.9995,20,73,93,"12","Sunday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","[0.76,16.7]","(17,57]","(17,49]","(36,118]",0,0,25.9656581720668,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.78494623655914,"(0.77,0.817]"
"January",2011-01-02 13:00:00,"0",14.76,17.425,66,8.9981,11,64,75,"13","Sunday","2011","Printemps","Nuageux","(62,77]","(13.9,20.5]","(16.7,24.2]","(7,13]","(4,17]","(36,118]",0,0,28.1672897667095,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.853333333333333,"(0.817,0.855]"
"January",2011-01-02 14:00:00,"0",14.76,17.425,76,12.998,4,55,59,"14","Sunday","2011","Printemps","Pluvieux (-)","(62,77]","(13.9,20.5]","(16.7,24.2]","(7,13]","[0,4]","(36,118]",0,0,27.2312401332167,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.932203389830508,"(0.923,0.953]"
"January",2011-01-02 15:00:00,"0",13.94,16.665,81,11.0014,19,55,74,"15","Sunday","2011","Printemps","Pluvieux (-)","(77,100]","[0.82,13.9]","[0.76,16.7]","(7,13]","(17,49]","(36,118]",0,0,23.2932063911418,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.743243243243243,"(0.717,0.77]"
"January",2011-01-02 16:00:00,"0",13.94,16.665,71,11.0014,9,67,76,"16","Sunday","2011","Printemps","Pluvieux (-)","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","(4,17]","(36,118]",0,0,16.8536947982494,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.881578947368421,"(0.855,0.889]"
"January",2011-01-02 17:00:00,"0",13.94,16.665,57,12.998,7,58,65,"17","Sunday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","(7,13]","(4,17]","(36,118]",0,0,8.55117956004334,"(1.01,28.9]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.892307692307692,"(0.889,0.923]"
"January",2011-01-02 18:00:00,"0",14.76,16.665,46,22.0028,10,43,53,"18","Sunday","2011","Printemps","Nuageux","[0,47]","(13.9,20.5]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,-1.2523255187729,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.811320754716981,"(0.77,0.817]"
"January",2011-01-02 19:00:00,"0",13.12,14.395,42,30.0026,1,29,30,"19","Sunday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-11.8745266826688,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.966666666666667,"(0.953,0.986]"
"January",2011-01-02 20:00:00,"0",12.3,13.635,39,23.9994,5,17,22,"20","Sunday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","[0,36]",0,0,-23.0979362064302,"(-28,1.01]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.772727272727273,"(0.77,0.817]"
"January",2011-01-02 21:00:00,"0",10.66,11.365,44,22.0028,11,20,31,"21","Sunday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","[0,36]",0,0,-34.6633500021822,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",0.645161290322581,"(0.641,0.717]"
"January",2011-01-02 22:00:00,"0",9.84,10.605,44,19.9995,0,9,9,"22","Sunday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-46.3108403987057,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-02 23:00:00,"0",9.02,11.365,47,11.0014,0,8,8,"23","Sunday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","[0,36]",0,0,-57.6528996855209,"[-74.5,-28]",0.418092735922744,1,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 00:00:00,"1",9.02,9.85,44,23.9994,0,5,5,"0","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-67.7640226978238,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 01:00:00,"1",8.2,8.335,44,27.9993,0,2,2,"1","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-73.7444033392485,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 04:00:00,"1",6.56,6.82,47,26.0027,0,1,1,"4","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-51.05297966315,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 05:00:00,"1",6.56,6.82,47,19.0012,0,3,3,"5","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-39.4655835405396,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 06:00:00,"1",5.74,5.305,50,26.0027,0,30,30,"6","Monday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","[0,36]",0,0,-27.8269578435067,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 07:00:00,"1",5.74,6.82,50,12.998,1,63,64,"7","Monday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","(36,118]",0,0,-16.426434419978,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.984375,"(0.953,0.986]"
"January",2011-01-03 08:00:00,"1",5.74,6.06,50,19.0012,1,153,154,"8","Monday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","(17,57]","[0,4]","(118,222]",0,0,-5.51389226220559,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.993506493506494,"(0.986,1]"
"January",2011-01-03 09:00:00,"1",6.56,6.82,43,26.0027,7,81,88,"9","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,4.79004972548723,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.920454545454545,"(0.889,0.923]"
"January",2011-01-03 10:00:00,"1",7.38,8.335,43,16.9979,11,33,44,"10","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(13,17]","(4,17]","[0,36]",0,0,13.6682617742163,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.75,"(0.717,0.77]"
"January",2011-01-03 11:00:00,"1",8.2,9.09,40,22.0028,10,41,51,"11","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,20.9698664634424,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.803921568627451,"(0.77,0.817]"
"January",2011-01-03 12:00:00,"1",9.02,10.605,35,19.9995,13,48,61,"12","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,26.0279505070034,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.786885245901639,"(0.77,0.817]"
"January",2011-01-03 13:00:00,"1",9.84,10.605,35,19.0012,8,53,61,"13","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,28.2569185384052,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.868852459016393,"(0.855,0.889]"
"January",2011-01-03 14:00:00,"1",10.66,12.12,30,19.0012,11,66,77,"14","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(17,57]","(4,17]","(36,118]",0,0,27.3440893387284,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.857142857142857,"(0.855,0.889]"
"January",2011-01-03 15:00:00,"1",10.66,12.12,30,16.9979,14,58,72,"15","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(13,17]","(4,17]","(36,118]",0,0,23.4222201631135,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.805555555555556,"(0.77,0.817]"
"January",2011-01-03 16:00:00,"1",10.66,12.12,30,16.9979,9,67,76,"16","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(13,17]","(4,17]","(36,118]",0,0,16.9917695809129,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.881578947368421,"(0.855,0.889]"
"January",2011-01-03 17:00:00,"1",9.84,11.365,30,15.0013,11,146,157,"17","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","(13,17]","(4,17]","(118,222]",0,0,8.69237358971109,"(1.01,28.9]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.929936305732484,"(0.923,0.953]"
"January",2011-01-03 18:00:00,"1",9.84,12.88,32,7.0015,9,148,157,"18","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","[0,7]","(4,17]","(118,222]",0,0,-1.10845495747372,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.942675159235669,"(0.923,0.953]"
"January",2011-01-03 19:00:00,"1",8.2,12.88,47,0,8,102,110,"19","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","[0,7]","(4,17]","(36,118]",0,0,-11.7309921633349,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.927272727272727,"(0.923,0.953]"
"January",2011-01-03 20:00:00,"1",8.2,11.365,47,7.0015,3,49,52,"20","Monday","2011","Printemps","Beau temps","[0,47]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","(36,118]",0,0,-22.9552039771386,"(-28,1.01]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.942307692307692,"(0.923,0.953]"
"January",2011-01-03 21:00:00,"1",7.38,9.85,64,8.9981,3,49,52,"21","Monday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","(36,118]",0,0,-34.5211484573123,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.942307692307692,"(0.923,0.953]"
"January",2011-01-03 22:00:00,"1",5.74,7.575,69,8.9981,0,20,20,"22","Monday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","[0,36]",0,0,-46.1682771510952,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-03 23:00:00,"1",7.38,10.605,55,7.0015,1,11,12,"23","Monday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-57.5087792664181,"[-74.5,-28]",0.418092735922744,2,"[0.409,0.432]","[0,67]",0.916666666666667,"(0.889,0.923]"
"January",2011-01-04 00:00:00,"1",6.56,9.09,55,7.0015,0,5,5,"0","Tuesday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-67.620378810496,"[-74.5,-28]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 01:00:00,"1",6.56,9.09,59,7.0015,0,2,2,"1","Tuesday","2011","Printemps","Beau temps","(47,62]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-73.6306201891888,"[-74.5,-28]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 02:00:00,"1",5.74,7.575,63,8.9981,0,1,1,"2","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","[0,36]",0,0,-70.9877566848183,"[-74.5,-28]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 04:00:00,"1",5.74,9.09,63,6.0032,0,2,2,"4","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-51.0844395407195,"[-74.5,-28]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 05:00:00,"1",4.92,7.575,68,7.0015,0,4,4,"5","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-39.5014637950226,"[-74.5,-28]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 06:00:00,"1",4.92,7.575,74,7.0015,0,36,36,"6","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","[0,7]","[0,4]","[0,36]",0,0,-27.8605879676219,"(-28,1.01]",0.418092735922744,3,"[0.409,0.432]","[0,67]",1,"(0.986,1]"
"January",2011-01-04 07:00:00,"1",4.92,7.575,74,8.9981,2,92,94,"7","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","(36,118]",0,0,-16.4532811670539,"(-28,1.01]",0.418092735922744,3,"[0.409,0.432]","[0,67]",0.978723404255319,"(0.953,0.986]"
"January",2011-01-04 08:00:00,"1",5.74,7.575,69,11.0014,2,177,179,"8","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(7,13]","[0,4]","(118,222]",0,0,-5.52995995490777,"(-28,1.01]",0.418092735922744,3,"[0.409,0.432]","[0,67]",0.988826815642458,"(0.986,1]"
"January",2011-01-04 09:00:00,"1",6.56,7.575,64,15.0013,2,98,100,"9","Tuesday","2011","Printemps","Beau temps","(62,77]","[0.82,13.9]","[0.76,16.7]","(13,17]","[0,4]","(36,118]",0,0,4.7889488417365,"(1.01,28.9]",0.418092735922744,3,"[0.409,0.432]","[0,67]",0.98,"(0.953,0.986]"
